5265.81251 17.417 0.011
5266.79609 17.628 0.014
5267.78687 17.246 0.010
5268.82630 17.521 0.012
5269.77248 17.335 0.011
5270.76156 17.364 0.011
5271.84391 17.586 0.012
5272.75785 17.163 0.012
5273.81683 17.469 0.011
5274.78262 17.606 0.014
5275.82946 17.336 0.012
5276.76422 17.521 0.013
5276.89165 17.527 0.012
5277.80062 17.121 0.010
5278.77220 17.406 0.014
5279.77987 17.631 0.017
5280.86331 17.262 0.009
5281.76642 17.480 0.013
5281.90119 17.503 0.011
5282.77882 17.286 0.012
5283.72958 17.341 0.017
5284.88205 17.592 0.015
5285.72410 17.179 0.018
5285.73097 17.170 0.016
5286.73537 17.455 0.015
5287.74451 17.606 0.015
5288.72103 17.277 0.013
5292.78867 17.639 0.018
5293.79948 17.281 0.011
5294.74662 17.487 0.012
5294.78402 17.502 0.011
5294.82121 17.502 0.011
5294.85128 17.493 0.011
5294.89105 17.500 0.011
5295.74759 17.330 0.011
5295.78596 17.234 0.010
5295.82442 17.176 0.009
5295.86236 17.130 0.009
5295.90194 17.104 0.009
5296.79185 17.360 0.010
5296.82632 17.377 0.010
5296.86373 17.374 0.009
5296.90385 17.400 0.011
5297.78498 17.555 0.011
5297.82301 17.578 0.011
5297.86080 17.565 0.010
5297.89991 17.606 0.011
5298.78586 17.181 0.009
5298.82372 17.209 0.010
5298.86166 17.248 0.011
5298.90113 17.230 0.009
5300.84144 17.486 0.012
5300.88113 17.419 0.011
5301.77494 17.325 0.011
5301.81227 17.323 0.010
5301.84979 17.332 0.011
5301.89003 17.356 0.011
5304.73529 17.426 0.016
5304.77462 17.409 0.013
5306.70802 17.241 0.010
5306.77213 17.258 0.010
5306.83524 17.269 0.010
5306.87443 17.297 0.010
5306.91332 17.295 0.010
5307.69778 17.477 0.012
5307.76131 17.497 0.012
5307.82270 17.507 0.012
5307.86205 17.504 0.012
5307.90172 17.519 0.012
5308.68905 17.411 0.013
5308.75090 17.330 0.012
5308.81243 17.188 0.010
5308.85033 17.133 0.009
5309.68680 17.319 0.013
5309.75184 17.367 0.011
5309.82240 17.352 0.011
5309.86649 17.394 0.011
5309.90485 17.402 0.011
5310.66651 17.532 0.016
5310.73246 17.577 0.015
5310.78882 17.577 0.013
5310.86427 17.570 0.009
5310.90226 17.589 0.012
5311.78765 17.209 0.013
5311.84602 17.225 0.011
5311.89492 17.258 0.012
5312.70926 17.414 0.016
5312.75862 17.484 0.015
5312.80116 17.475 0.015
5312.84095 17.442 0.014
5312.88579 17.468 0.014
5312.92293 17.496 0.013
5313.79500 17.570 0.018
5313.83400 17.491 0.016
5313.87423 17.458 0.017
5313.91205 17.391 0.016
5314.68275 17.280 0.015
5314.72519 17.308 0.017
5314.76486 17.322 0.014
5314.80241 17.335 0.014
5314.86021 17.333 0.015
5314.89739 17.355 0.014
5315.65143 17.541 0.024
5315.70019 17.512 0.023
5315.74817 17.484 0.019
5315.78570 17.564 0.017
5315.82358 17.543 0.017
5315.86368 17.536 0.020
5315.90567 17.627 0.020
5316.69666 17.126 0.017
5316.74170 17.129 0.018
5316.78152 17.127 0.015
5316.82074 17.136 0.015
5316.87593 17.178 0.029
5320.65919 17.450 0.013
5320.69815 17.506 0.015
5320.74212 17.495 0.013
5320.77958 17.492 0.013
5320.81899 17.503 0.013
5320.86126 17.507 0.014
5320.89872 17.533 0.014
5321.65853 17.425 0.017
5321.72647 17.317 0.011
5321.76502 17.251 0.012
5321.80424 17.178 0.010
5321.84571 17.131 0.011
5321.88333 17.105 0.011
5321.92056 17.103 0.011
5323.67738 17.587 0.017
5323.74331 17.581 0.017
5323.78165 17.603 0.015
5323.82491 17.592 0.014
5323.86434 17.599 0.014
5323.90180 17.613 0.015
5323.93910 17.638 0.026
5324.70612 17.209 0.012
5324.74525 17.205 0.010
5324.78262 17.213 0.013
5324.82299 17.223 0.011
5324.86172 17.233 0.011
5324.89905 17.268 0.011
5325.64429 17.424 0.012
5325.69846 17.448 0.012
5325.73499 17.442 0.011
5325.77331 17.455 0.011
5325.81282 17.478 0.012
5325.86031 17.489 0.013
5325.89904 17.490 0.013
5325.93960 17.513 0.027
5326.67331 17.639 0.014
5326.73399 17.575 0.013
5326.77138 17.552 0.013
5326.81092 17.541 0.012
5326.84917 17.468 0.012
5326.88763 17.408 0.012
5326.92636 17.313 0.013
5327.68748 17.302 0.010
5327.75841 17.308 0.010
5327.79730 17.333 0.011
5327.83560 17.364 0.013
