6310.80801 14.336 0.005
6311.86743 14.125 0.005
6318.86760 14.312 0.006
6320.88084 14.200 0.006
6324.83904 14.344 0.006
6325.85718 14.049 0.005
6326.84718 14.234 0.005
6327.82934 14.378 0.006
6329.81696 14.253 0.005
6330.82359 14.351 0.006
6331.82499 14.088 0.005
6333.84073 14.311 0.005
6334.80572 14.113 0.005
6335.79620 14.290 0.005
6336.80002 14.264 0.005
6337.79917 14.136 0.005
6338.81074 14.307 0.005
6339.81518 14.146 0.005
6340.82265 14.156 0.005
6341.81459 14.329 0.006
6342.80412 14.070 0.005
6344.79873 14.333 0.005
6345.80082 14.039 0.005
6351.78835 14.056 0.005
6352.73715 14.243 0.005
6353.76224 14.351 0.006
6356.77103 14.312 0.005
6357.79784 14.098 0.005
6360.76131 14.129 0.005
6362.76224 14.163 0.005
6363.77218 14.161 0.005
6368.75980 14.019 0.005
6370.74285 14.349 0.005
6371.71573 14.028 0.005
6372.72398 14.227 0.005
6373.70585 14.359 0.006
6375.70491 14.247 0.005
6376.72244 14.349 0.006
6377.70087 14.085 0.005
6378.70144 14.261 0.005
6379.68921 14.326 0.005
6381.69403 14.282 0.005
6382.68623 14.280 0.006
6387.67596 14.310 0.005
6389.64982 14.166 0.005
6390.65814 14.331 0.006
6391.64390 14.050 0.005
6395.63712 14.220 0.005
6396.63276 14.356 0.005
6397.66961 14.053 0.005
6398.63469 14.236 0.005
6399.61333 14.362 0.005
6400.60502 14.073 0.005
6401.59613 14.252 0.005
6402.61565 14.337 0.006
6403.59729 14.087 0.005
6404.63507 14.276 0.005
6407.62942 14.290 0.006
6408.60463 14.239 0.007
6414.56112 14.077 0.005
6416.60455 14.349 0.006
6417.56394 14.030 0.005
6418.53441 14.212 0.006
6419.58376 14.351 0.006
6422.52149 14.358 0.006
6424.50625 14.238 0.005
6428.50463 14.340 0.005
6433.47307 14.282 0.006
6437.44758 14.133 0.007
6448.44835 14.351 0.007
6449.44590 14.067 0.006
6450.44674 14.257 0.007
6465.47331 14.356 0.006
6676.87378 14.190 0.005
6682.86085 14.232 0.005
6684.80523 14.051 0.005
6695.79335 14.194 0.005
6699.72632 14.169 0.006
6703.76650 14.347 0.006
6707.80173 14.061 0.005
6712.75173 14.324 0.005
6715.74855 14.281 0.005
6723.70360 14.326 0.005
6738.71835 14.283 0.005
6766.62540 14.297 0.005
6767.62616 14.139 0.005
6768.63955 14.166 0.005
6794.58254 14.169 0.006
6795.58046 14.341 0.007
7028.83212 14.195 0.006
7037.85626 14.030 0.005
7045.85605 14.317 0.006
7051.80302 14.199 0.006
7054.84395 14.081 0.005
7068.75174 14.342 0.006
7097.67088 14.249 0.006
7127.58945 14.179 0.006
7169.49460 14.210 0.006
7171.45431 14.314 0.007
7176.51491 14.207 0.006
7203.46068 14.350 0.007
7380.78459 14.280 0.006
7381.80209 14.307 0.006
7384.76613 14.260 0.006
7388.82732 14.177 0.005
7395.80907 14.359 0.007
7398.85517 14.366 0.006
7402.86161 14.109 0.005
7407.80283 14.222 0.006
7412.76377 14.330 0.006
7416.77635 14.027 0.006
7427.75109 14.309 0.006
7432.75311 14.320 0.006
7435.71572 14.329 0.006
7438.70253 14.340 0.005
7441.71795 14.366 0.006
7444.72062 14.376 0.006
7447.71577 14.358 0.006
7451.74028 14.125 0.005
7455.69402 14.320 0.006
7460.62748 14.181 0.006
7464.53846 14.343 0.006
7470.63765 14.365 0.006
7474.66207 14.109 0.006
7480.61257 14.154 0.006
7486.59984 14.202 0.006
7489.57796 14.221 0.005
7493.59032 14.365 0.006
7496.58628 14.341 0.007
7498.57228 14.292 0.006
7507.51603 14.328 0.005
7512.45649 14.200 0.005
7526.49192 14.147 0.006
7550.47438 14.327 0.006
7554.45630 14.052 0.006
7555.45643 14.195 0.006
7561.44856 14.220 0.007
7710.85270 14.269 0.005
7739.80560 14.289 0.006
7745.80740 14.319 0.006
7748.80393 14.347 0.007
7756.78703 14.258 0.006
7761.83397 14.130 0.006
7764.84263 14.149 0.006
7767.85314 14.187 0.007
7770.82495 14.201 0.006
7773.85483 14.225 0.006
7779.82606 14.266 0.006
7781.78968 14.090 0.006
7792.65371 14.114 0.006
7800.60062 14.362 0.006
7812.75753 14.117 0.006
7821.62854 14.034 0.006
7827.55547 14.060 0.006
7840.56714 14.315 0.006
7849.51792 14.364 0.006
7867.52788 14.015 0.005
7911.47076 14.194 0.007
8122.86800 14.098 0.006
8154.75602 14.039 0.005
8184.68155 14.268 0.006
8509.84529 14.365 0.006
8517.79539 14.283 0.006
8524.85142 14.081 0.005
8534.70173 14.227 0.006
8543.75017 14.296 0.005
8551.73595 14.197 0.006
8557.66876 14.237 0.006
8561.63242 14.358 0.006
8566.61351 14.289 0.006
8572.59947 14.316 0.006
8581.59258 14.366 0.006
8593.56087 14.228 0.006
8609.48860 14.249 0.006
8616.52686 14.238 0.006
8622.55126 14.046 0.005
8638.46052 14.290 0.006
8648.48534 14.035 0.006
8657.44990 14.102 0.006
8830.82400 14.285 0.006
8840.76133 14.045 0.005
8849.83389 14.104 0.005
8857.84423 14.134 0.005
8865.81144 14.370 0.005
8876.67420 14.279 0.005
8882.67314 14.319 0.006
8897.62447 14.363 0.006
8903.60399 14.265 0.005
8909.70822 14.037 0.005
8913.71324 14.245 0.006
